NSE_Symbol,Company_Name,ISIN,BSE_Script_Code,BSE_Symbol,YQ_Symbol
,MIRAEF3D1G,INF769K01EP0,542565.0,MIRAEF3D1G,542565.BO
,MIRAEF3D2D,INF769K01EQ8,542566.0,MIRAEF3D2D,542566.BO
,MANXT50ETF,INF769K01FN2,542922.0,MANXT50ETF,542922.BO
,MANXT50INAV,INF769K01FN2,199071.0,MANXT50INAV,199071.BO
,MAESGETF,INF769K01GS9,543246.0,MAESGETF,543246.BO
,MAESGETINAV,INF769K01GS9,199078.0,MAESGETINAV,199078.BO
,MAFANG,INF769K01HF4,543291.0,MAFANG,543291.BO
,MAFANGINAV,INF769K01HF4,199081.0,MAFANGINAV,199081.BO
,MAFSETF,INF769K01HI8,543323.0,MAFSETF,543323.BO
,MAFSETFINAV,INF769K01HI8,199083.0,MAFSETFINAV,199083.BO
,MASPTOP50,INF769K01HP3,543365.0,MASPTOP50,543365.BO
,MASPTOPINAV,INF769K01HP3,199088.0,MASPTOPINAV,199088.BO
,MAHKTECH,INF769K01HS7,543414.0,MAHKTECH,543414.BO
,MAHKTECINAV,INF769K01HS7,199091.0,MAHKTECINAV,199091.BO
,MAMFGETF,INF769K01IB1,543454.0,MAMFGETF,543454.BO
,MAMFGETINAV,INF769K01IB1,199097.0,MAMFGETINAV,199097.BO
,MAM150ETF,INF769K01IC9,543481.0,MAM150ETF,543481.BO
,MAM150EINAV,INF769K01IC9,199103.0,MAM150EINAV,199103.BO
,MIRAEF5RG,INF769K01JL8,543772.0,MIRAEF5RG,543772.BO
,MIRAEF5RD,INF769K01JM6,543773.0,MIRAEF5RD,543773.BO
,MIRAEF5D1,INF769K01JN4,543770.0,MIRAEF5D1,543770.BO
,MIRAEF5D2,INF769K01JO2,543771.0,MIRAEF5D2,543771.BO
,MAGOLDETF,INF769K01JP9,543781.0,MAGOLDETF,543781.BO
,MAGOINAV,INF769K01JP9,199144.0,MAGOINAV,199144.BO
,MIRAEF6RG,INF769K01JQ7,543822.0,MIRAEF6RG,543822.BO
,MIRAEF6RD,INF769K01JR5,543823.0,MIRAEF6RD,543823.BO
,MIRAEF6D1,INF769K01JS3,543820.0,MIRAEF6D1,543820.BO
,MIRAEF6D2,INF769K01JT1,543821.0,MIRAEF6D2,543821.BO
,MANV30F,INF769K01JU9,543858.0,MANV30F,543858.BO
,MANVINAV,INF769K01JU9,199148.0,MANVINAV,199148.BO
,MAGS813ETF,INF769K01KF8,543875.0,MAGS813ETF,543875.BO
,MAGSINAV,INF769K01KF8,199149.0,MAGSINAV,199149.BO
,MASILVER,INF769K01KG6,543922.0,MASILVER,543922.BO
,MASIINAV,INF769K01KG6,199152.0,MASIINAV,199152.BO
,UTICRFSDQR,INF789F1AMJ3,542780.0,UTICRFSDQR,542780.BO
,UTICRFSDAR,INF789F1AMM7,542783.0,UTICRFSDAR,542783.BO
,UTICRFSDHP,INF789F1AMN5,542784.0,UTICRFSDHP,542784.BO
,UTICRFSDHR,INF789F1AMO3,542786.0,UTICRFSDHR,542786.BO
,UTICRFSDFP,INF789F1AMP0,542785.0,UTICRFSDFP,542785.BO
,UTICRFSDFR,INF789F1AMQ8,542787.0,UTICRFSDFR,542787.BO
,UTICRFSDMP,INF789F1AMR6,542788.0,UTICRFSDMP,542788.BO
,UTICRFSDMR,INF789F1AMS4,542789.0,UTICRFSDMR,542789.BO
,UTICRFSRAP,INF789F1AMW6,542790.0,UTICRFSRAP,542790.BO
,UTICRFSRHP,INF789F1AMY2,542795.0,UTICRFSRHP,542795.BO
,UTICRFSRHR,INF789F1AMZ9,542796.0,UTICRFSRHR,542796.BO
,UTICRFSRMR,INF789F1AND4,542798.0,UTICRFSRMR,542798.BO
,UTCRFS1DQP,INF789F1ANE2,543024.0,UTCRFS1DQP,543024.BO
,UTCRFS1DQR,INF789F1ANF9,543025.0,UTCRFS1DQR,543025.BO
,UTCRFS1DGR,INF789F1ANG7,543026.0,UTCRFS1DGR,543026.BO
,UTCRFS1DAP,INF789F1ANH5,543027.0,UTCRFS1DAP,543027.BO
,UTCRFS1DAR,INF789F1ANI3,543028.0,UTCRFS1DAR,543028.BO
,UTCRFS1DHP,INF789F1ANJ1,543029.0,UTCRFS1DHP,543029.BO
,UTCRFS1DHR,INF789F1ANK9,543030.0,UTCRFS1DHR,543030.BO
,UTCRFS1DFP,INF789F1ANL7,543031.0,UTCRFS1DFP,543031.BO
,UTCRFS1DFR,INF789F1ANM5,543032.0,UTCRFS1DFR,543032.BO
,UTCRFS1DMP,INF789F1ANN3,543033.0,UTCRFS1DMP,543033.BO
,UTCRFS1DMR,INF789F1ANO1,543034.0,UTCRFS1DMR,543034.BO
,UTCRFS1RQP,INF789F1ANP8,543035.0,UTCRFS1RQP,543035.BO
,UTCRFS1RQR,INF789F1ANQ6,543036.0,UTCRFS1RQR,543036.BO
,UTCRFS1RGR,INF789F1ANR4,543037.0,UTCRFS1RGR,543037.BO
,UTCRFS1RAP,INF789F1ANS2,543038.0,UTCRFS1RAP,543038.BO
,UTCRFS1RAR,INF789F1ANT0,543039.0,UTCRFS1RAR,543039.BO
,UTCRFS1RHP,INF789F1ANU8,543040.0,UTCRFS1RHP,543040.BO
,UTCRFS1RHR,INF789F1ANV6,543041.0,UTCRFS1RHR,543041.BO
,UTCRFS1RFP,INF789F1ANW4,543042.0,UTCRFS1RFP,543042.BO
,UTCRFS1RFR,INF789F1ANX2,543043.0,UTCRFS1RFR,543043.BO
,UTCRFS1RMP,INF789F1ANY0,543044.0,UTCRFS1RMP,543044.BO
,UTCRFS1RMR,INF789F1ANZ7,543045.0,UTCRFS1RMR,543045.BO
,UTMTFS1DQP,INF789F1AOA8,542990.0,UTMTFS1DQP,542990.BO
,UTMTFS1DQR,INF789F1AOB6,542991.0,UTMTFS1DQR,542991.BO
,UTMTFS1DGR,INF789F1AOC4,542992.0,UTMTFS1DGR,542992.BO
,UTMTFS1DAP,INF789F1AOD2,542993.0,UTMTFS1DAP,542993.BO
,UTMTFS1DAR,INF789F1AOE0,542994.0,UTMTFS1DAR,542994.BO
,UTMTFS1DHP,INF789F1AOF7,542995.0,UTMTFS1DHP,542995.BO
,UTMTFS1DHR,INF789F1AOG5,542996.0,UTMTFS1DHR,542996.BO
,UTMTFS1DFP,INF789F1AOH3,542997.0,UTMTFS1DFP,542997.BO
,UTMTFS1DFR,INF789F1AOI1,542998.0,UTMTFS1DFR,542998.BO
,UTMTFS1DMP,INF789F1AOJ9,542999.0,UTMTFS1DMP,542999.BO
,UTMTFS1DMR,INF789F1AOK7,543000.0,UTMTFS1DMR,543000.BO
,UTMTFS1RQP,INF789F1AOL5,543001.0,UTMTFS1RQP,543001.BO
,UTMTFS1RQR,INF789F1AOM3,543002.0,UTMTFS1RQR,543002.BO
,UTMTFS1RGR,INF789F1AON1,543003.0,UTMTFS1RGR,543003.BO
,UTMTFS1RAP,INF789F1AOO9,543004.0,UTMTFS1RAP,543004.BO
,UTMTFS1RAR,INF789F1AOP6,543005.0,UTMTFS1RAR,543005.BO
,UTMTFS1RHP,INF789F1AOQ4,543006.0,UTMTFS1RHP,543006.BO
,UTMTFS1RHR,INF789F1AOR2,543007.0,UTMTFS1RHR,543007.BO
,UTMTFS1RFP,INF789F1AOS0,543008.0,UTMTFS1RFP,543008.BO
,UTMTFS1RFR,INF789F1AOT8,543009.0,UTMTFS1RFR,543009.BO
,UTMTFS1RMP,INF789F1AOU6,543010.0,UTMTFS1RMP,543010.BO
,UTMTFS1RMR,INF789F1AOV4,543011.0,UTMTFS1RMR,543011.BO
,UTIBFS1RGR,INF789F1AOW2,542972.0,UTIBFS1RGR,542972.BO
,UTIBFS1RQP,INF789F1AOX0,542973.0,UTIBFS1RQP,542973.BO
,UTIBFS1RQR,INF789F1AOY8,542974.0,UTIBFS1RQR,542974.BO
,UTIBFS1RHP,INF789F1AOZ5,542975.0,UTIBFS1RHP,542975.BO
,UTIBFS1RHR,INF789F1APA5,542976.0,UTIBFS1RHR,542976.BO
,UTIBFS1RAP,INF789F1APB3,542977.0,UTIBFS1RAP,542977.BO
,UTIBFS1RAR,INF789F1APC1,542978.0,UTIBFS1RAR,542978.BO
,UTIBFS1RFP,INF789F1APD9,542979.0,UTIBFS1RFP,542979.BO
,UTIBFS1RFR,INF789F1APE7,542980.0,UTIBFS1RFR,542980.BO
,UTIBFS1DGR,INF789F1APF4,542981.0,UTIBFS1DGR,542981.BO
